empresa,nome_vaga,localidade,descricao,requisitos,link,data_etl
WARREN,Cientista de dados Pleno | Inflação,Presencial,"Na Warren, confiança é a base de tudo. Nossos clientes sabem, com total transparência, como seus investimentos são geridos, quais as taxas envolvidas e o nível de risco de cada um. Nosso propósito é eliminar o conflito de interesses no mercado de investimentos brasileiro: não somos comissionados pelos produtos sugeridos, garantindo que o perfil e os objetivos de cada cliente estejam no centro de todas as decisões. Se você acredita em ummercado financeiro mais transparente, capaz de oferecer a me...",Databricks | AWS | Lógica de programação | Boa comunicação | SQL,https://warren.inhire.app/vagas/ac27b811-81b6-461f-a5e6-6109f6e17104/cientista-de-dados-pleno-or-inflacao,2026-03-13 14:03:00
CRMBONUS,Gerente de Engenharia de Dados e Governança de Dados,Não informado,Responsabilidades Requisitos Skills Comportamentais,"Experiência consolidada em áreas relacionadas com dados, com atuação em arquiteturas modernas. | Domínio de ferramentas e soluções de integração, processamento e orquestração (ex.: Databricks, Spark, Airflow, DBT, Kafka). | Forte entendimento de estruturas de dados, modelagem, particionamento, performance e pipelines distribuídos. | Experiência prática com governança de dados: catálogo, linhagem, DQ, políticas de acesso, LGPD. | Vivência com cloud (Azure, AWS ou GCP) e boas práticas de FinOps e otimização de custos.",https://crmbonus.inhire.app/vagas/91a7fa0d-8698-4ebe-9a3a-73b771d42b35/gerente-de-engenharia-de-dados-e-governanca-de-dados,2026-03-13 14:05:32
SOLUTIS,Analista de Banco de Dados Sênior | Presencial - Salvador BA,remoto,"Descrição da vagaEstamos em busca de alguém como você, que deseja iniciar uma nova jornada na área de Suporte de Serviços de TI (Banco de Dados) para impactar pessoas, clientes e sociedade. Nós, da Solutis, temos um desafio apaixonante, com o melhor ecossistema de uma Agile Company.Estamos com a posição de Analista de Tecnologia – Banco de Dados que envolve criatividade, proatividade, desenvolvimento ágil e que permite compartilhamento constante de conhecimentos. Somos um mundo plural, que promo...",Não informado,https://solutis.inhire.app/vagas/d7d65bd6-b266-4c74-955b-6e06d5c3b76a/analista-de-banco-de-dados-senior-or-presencial-salvador-ba,2026-03-13 14:06:21
GRUPOTAKING,Analista de Dados Pleno  - 26223,Não informado,"Profissional responsável por realizar análises de dados, cruzamento de informações e validações em ambiente de nuvem (GCP), com foco em garantir a integridade, consistência e confiabilidade dos dados corporativos. Atua como elo entre as áreas de negócio e tecnologia, interpretando demandas, executando consultas e apoiando decisões com base em evidências analíticas.  Responsabilidades:",Não informado,https://grupotaking.inhire.app/vagas/0fc29135-9101-46a2-a8cb-f44cbdddb253/analista-de-dados-pleno-26223,2026-03-13 14:06:43
GRUPOTAKING,Analista de Dados Pleno - 26225,Não informado,"Profissional responsável por realizar análises de dados, cruzamento de informações e validações em ambiente de nuvem (GCP), com foco em garantir a integridade, consistência e confiabilidade dos dados corporativos. Atua como elo entre as áreas de negócio e tecnologia, interpretando demandas, executando consultas e apoiando decisões com base em evidências analíticas.  Responsabilidades:",Não informado,https://grupotaking.inhire.app/vagas/60d363db-2aa5-4a8d-90fb-21ec21fe160a/analista-de-dados-pleno-26225,2026-03-13 14:06:50
GRUPOTAKING,Analista de Sustentação N1 - Dados (Azure & DevOps) - Pleno - 26181,Remota,"Estamos em busca de um(a) profissional para garantir a sustentação N1 dos ambientes de dados em Azure, assegurando disponibilidade e performance dos pipelines em produção, monitorando e tratando incidentes com precisão técnica, promovendo otimização e automação contínua, assegurando a integridade e qualidade dos dados e atuando de forma colaborativa com Engenharia, BI e áreas de negócio para entregas consistentes e alinhadas à estratégia da organização. Responsabilidades: - Atuar na sustentação ...",Não informado,https://grupotaking.inhire.app/vagas/5c061055-1865-49bd-98c1-63cffbd055aa/analista-de-sustentacao-n1-dados-azure-and-devops-pleno-26181,2026-03-13 14:06:58
CASHME,Engenheiro de Dados - Sênior,Remota,"Sobre o Desafio Na CashMe, dados não são apenas relatórios, são o motor da nossa tomada de decisão. Estamos buscando uma pessoaEngenheira de Dados Sêniorque assuma compropriedadea nossa plataforma de dados. Nosso ambiente é híbrido: temos uma stack moderna consolidada (Snowflake, dbt, Airflow, AWS), ferramentas de ingestão de mercado (Skyvia, Stitch) e um legado pontual (Pentaho) que precisa ser migrado e desligado.","Graduação em Ciência da Computação, Engenharia da Computação, Sistemas de Informação ou áreas correlatas.",https://cashme.inhire.app/vagas/c22028d6-5dcb-41e8-aa6f-9d2e221be879/engenheiro-de-dados-senior,2026-03-13 14:07:34
CASHME,Estagiário de Dados – Foco em Inteligência Artificial,Remota,"Se você sonha em começar sua carreira em um ambiente inovador, com autonomia, protagonismo e grandes desafios, essa vaga é pra você!🌟 Estamos em busca de alguém apaixonado por tecnologia e curioso para explorar o universo da IA aplicada. Aqui, você terá a oportunidade de aprender com profissionais experientes, ganhar visibilidade em projetos de impacto real e crescer em uma empresa reconhecida pelo excelente clima e cultura para se trabalhar. ","Mobilizamos as pessoas certas para impulsionar sonhos, e assim, realizar o futuro de milhares de brasileiros; | Aqui você vai ter autonomia e vai enxergar um horizonte cheio de espaço para crescer e contribuir; | Temos uma liderança bem próxima e inspiradora; | Temos um ambiente colaborativo e de muito respeito; | Gostamos de celebrar momentos e resultados.",https://cashme.inhire.app/vagas/7208a506-4e1f-4de1-aeb7-5f9051644ef5/estagiario-de-dados-foco-em-inteligencia-artificial,2026-03-13 14:07:43
ELOGROUP,Líder Técnico de Ciência de Dados,Remota,"No time da EloGroup, o Especialista em ciência de dados tem um papel de referência técnica na execução de projetos. Assim, buscamos alguém para atuar na propagação de conhecimento e resolução de problemas de negócio desde o contexto inicial até a entrega da solução final, sendo liderança do time na execução e direcionando pares. Responsabilidades e atribuições Principais atividades:","Experiência liderando / orientando times de cientistas de dados; | Capacidade de construção de código Python de qualidade, com uso de bibliotecas eficientes, modularização de acordo com as funcionalidades desenvolvidas e documentação; | Experiência com bancos de dados relacionais (SQL); | Experiência com Spark / Pyspark para construção de pipelines de dados de alta volumetria; | Conhecimento sobre ferramental de Cloud Computing (Azure, AWS, GCP);",https://elogroup.inhire.app/vagas/90bf5ccb-adeb-4f8a-8dd4-27523a2e8dad/lider-tecnico-de-ciencia-de-dados,2026-03-13 14:08:22
PROGRAMMERS,[Banco de Talentos] Cientista de Dados - Exclusiva para Profissionais com Deficiência (Home Office/Brasil),Remota,"NOSSO NEGÓCIO Aqui na Programmers, aceleramos grandes ideias com inovação e tecnologia. Com uma trajetória de mais de 30 anos, o que nos move são os desafios em construir ideias em soluções reais, para que nossos clientes sejam referências no segmento que atuam. Especialistas em desenvolvimento de software e inteligência de dados, temos uma relação de transparência, confiança, credibilidade e reconhecimento neste mercado.",Não informado,https://programmers.inhire.app/vagas/b90c9361-9c52-43ef-bfd9-6ac02743e3c4/banco-de-talentos-cientista-de-dados-exclusiva-para-profissionais-com-deficiencia-home-officebrasil,2026-03-13 14:10:33
PROGRAMMERS,Analista de Dados - AWS (Home Office/Brasil),Remota,"NOSSO NEGÓCIO Aqui na Programmers, aceleramos grandes ideias com inovação e tecnologia. Com uma trajetória de mais de 30 anos, o que nos move são os desafios em construir ideias em soluções reais, para que nossos clientes sejam referências no segmento que atuam. Especialistas em desenvolvimento de software e inteligência de dados, temos uma relação de transparência, confiança, credibilidade e reconhecimento neste mercado.","Familiaridade com técnicas de machine learning e sua aplicação na análise de dados; | Experiência com ferramentas de controle de versão, como Git; | Habilidade para trabalhar em ambientes ágeis, como Scrum ou Kanban; | Experiência no mercado financeiro.",https://programmers.inhire.app/vagas/1ac81a9f-f980-473f-8a7d-a87d491a4f6e/analista-de-dados-aws-home-officebrasil,2026-03-13 14:10:42
PROGRAMMERS,Engenheiro de Dados  | Databricks (Home Office/Brasil),Home Office,"NOSSO NEGÓCIO Aqui na Programmers, aceleramos grandes ideias com inovação e tecnologia. Com uma trajetória de mais de 30 anos, o que nos move são os desafios em construir ideias em soluções reais, para que nossos clientes sejam referências no segmento que atuam. Especialistas em desenvolvimento de software e inteligência de dados, temos uma relação de transparência, confiança, credibilidade e reconhecimento neste mercado.",Não informado,https://programmers.inhire.app/vagas/ea603976-a561-4ce2-a368-870558569dea/engenheiro-de-dados-or-databricks-home-officebrasil,2026-03-13 14:11:25
PROGRAMMERS,Engenheiro de Dados AWS (Home Office),Remota,"NOSSO NEGÓCIO Aqui na Programmers, aceleramos grandes ideias com inovação e tecnologia. Com uma trajetória de mais de 30 anos, o que nos move são os desafios em construir ideias em soluções reais, para que nossos clientes sejam referências no segmento que atuam. Especialistas em desenvolvimento de software e inteligência de dados, temos uma relação de transparência, confiança, credibilidade e reconhecimento neste mercado.",Não informado,https://programmers.inhire.app/vagas/ff7b36da-ddcc-4937-bc10-9cde4455e7f0/engenheiro-de-dados-aws-home-office,2026-03-13 14:11:34
PROGRAMMERS,[Banco de Talentos] Engenheiro de Dados - Exclusiva para Profissionais com Deficiência (Home Office/Brasil),Remota,"NOSSO NEGÓCIO Aqui na Programmers, aceleramos grandes ideias com inovação e tecnologia. Com uma trajetória de mais de 30 anos, o que nos move são os desafios em construir ideias em soluções reais, para que nossos clientes sejam referências no segmento que atuam. Especialistas em desenvolvimento de software e inteligência de dados, temos uma relação de transparência, confiança, credibilidade e reconhecimento neste mercado.",Não informado,https://programmers.inhire.app/vagas/72f125ab-c7c1-464f-8deb-10c27038f03f/banco-de-talentos-engenheiro-de-dados-exclusiva-para-profissionais-com-deficiencia-home-officebrasil,2026-03-13 14:11:43
FRETE,Cientista de Dados Senior,Remota,"#VemSerFrete.com  Somos impulsionados em movimentar o mundo, simplificando a logística e conectando caminhoneiros e cargas por meio de soluções inovadoras. Mas nosso propósito vai além! Estamos comprometidos em transformar vidas, proporcionando mais oportunidades de crescimento para nossa equipe e gerando eficiência e segurança para as empresas parceiras. Além disso, desempenhamos um papel essencial na preservação do planeta, otimizando a malha logística das regiões em que atuamos e reduzindo a ...","SQL avançado: boas práticas com queries e modelagem de dados; | Proficiência em Python; | Experiência bibliotecas de Machine Learning: Scikit-learn, TensorFlow e PyTorch; | Experiência com bibliotecas processamento e análise de grandes volumes de dados (NumPy, Polars, Pandas, Spark, Dask, etc); | Experiência com modelos clássicos de ML: regressão, árvores de decisão, séries temporais, clustering, boosting (XGBoost, LightGBM, CatBoost);",https://frete.inhire.app/vagas/f24211f7-c850-472e-8792-450cfddde280/cientista-de-dados-senior,2026-03-13 14:18:38
CONTAAZUL,Cientista de Dados Sênior| Foco em Produto e ML,Remota,"SOBRE A CONTA AZUL Na Conta Azul, Ciência de Dados é impacto real no produto e no negócio. Buscamos uma pessoa analítica e mão na massa, capaz de transformar modelos de Machine Learning (incluindo LLMs) em soluções que facilitem a vida de milhares de empreendedores. Você terá autonomia para desenvolver, avaliar e colocar modelos em produção, sempre com foco em valor para o cliente. SOBRE O TIME","Experiência sólida em Ciência de Dados com foco em ML aplicado, atuando no ciclo completo de modelos | Vivência prática em treinamento, validação, avaliação e definição de métricas | Experiência com modelos em produção, considerando escalabilidade, custo e performance | Experiência na integração de modelos e/ou LLMs em sistemas reais | Proficiência em Python e SQL",https://contaazul.inhire.app/vagas/127e1249-ce3e-4bfd-8e3e-8b6d2115b53b/cientista-de-dados-senioror-foco-em-produto-e-ml,2026-03-13 14:23:38
TRINNUS,Especialista I - Ciência de Dados/RP 1432203,Presencial,"RP 1432203 - VAGA PARA O SISTEMA FIEB (Salvador) Detalhamento do perfil:O profissional será responsável por desenvolver, manter e orquestrar pipelines automatizados para extração, transformação, limpeza e carga de dados oriundo de diversas fontes e de diversos formatos; criar e estruturar de armazenamento de dados em camadas escaláveis e de alta disponibilidade, que sirvam como fonte de dados para treinamento de modelos de IA ou de consultas de informações para grandes modelos de linguagens; int...","Escolaridade: Ensino Médio Completo, desejável Ensino Superior Completo em Ciência da Computação, Engenharia da Computação ou Sistema de Informação | Conhecimentos técnicos e experiência exigida: Conhecimento em Python, C/C++, banco de dados relacionais, SQL, ferramentas de versionamento de código (Git); Conhecimento em ETL e Estruturas de Dados | Conhecimentos desejáveis: Conhecimento com desenvolvimento backend e integração com API', conceitos de engenharia de software, Machine Learning, Processamento de Linguagem Natural, Engenharia de Prompts, LLM's. DevOps; Conhecimento em inglês",https://trinnus.inhire.app/vagas/4902b1f2-a1ab-4292-a1f5-5c0aef985f50/especialista-i-ciencia-de-dadosrp-1432203,2026-03-13 14:25:03
VOCEDM,Ciência de Dados | Coordenador(a) de Business Intelligence,Home Office,"A missão 💼 Liderar  a participação do time de Business Intelligence nas Squads de produtos gerando análises estratégicas que suportem a tomada de decisão da companhia, desenvolvendo painéis para acompanhamento de indicadores e garantindo a qualidade, integridade e disponibilidade dos dados. O coordenador de BI irá atuar de forma consultiva junto às áreas de negócio, promovendo uma cultura data-driven e liderando iniciativas que ampliem o valor gerado por dados. O seu desafio será 🚀",Não informado,https://vocedm.inhire.app/vagas/1b39f64a-b205-4f27-b8c9-dacd241f778a/ciencia-de-dados-or-coordenadora-de-business-intelligence,2026-03-13 14:27:00
